Table 1,,,,
Neighborhood,Demographic,Unit_Size,Affordable_ind,Year
Centennial-Glenfair-Wilkes,Avg. Portland Household,Studio,Y,2016
Centennial-Glenfair-Wilkes,Avg. Portland Household,1-BR,Y,2016
Centennial-Glenfair-Wilkes,Avg. Portland Household,2-BR,Y,2016
Centennial-Glenfair-Wilkes,Avg. Portland Household,3-BR,Y,2016
Centennial-Glenfair-Wilkes,Avg. Portland Household,Homeownership,Y,2016
Centennial-Glenfair-Wilkes,3-Person Extremely Low-Income,Studio,N,2016
Centennial-Glenfair-Wilkes,3-Person Extremely Low-Income,1-BR,N,2016
Centennial-Glenfair-Wilkes,3-Person Extremely Low-Income,2-BR,N,2016
Centennial-Glenfair-Wilkes,3-Person Extremely Low-Income,3-BR,N,2016
Centennial-Glenfair-Wilkes,3-Person Extremely Low-Income,Homeownership,N,2016
Centennial-Glenfair-Wilkes,3-Person Low-Income,Studio,Y,2016
Centennial-Glenfair-Wilkes,3-Person Low-Income,1-BR,Y,2016
Centennial-Glenfair-Wilkes,3-Person Low-Income,2-BR,Y,2016
Centennial-Glenfair-Wilkes,3-Person Low-Income,3-BR,N,2016
Centennial-Glenfair-Wilkes,3-Person Low-Income,Homeownership,Y,2016
Centennial-Glenfair-Wilkes,3-Person Moderate-Income,Studio,Y,2016
Centennial-Glenfair-Wilkes,3-Person Moderate-Income,1-BR,Y,2016
Centennial-Glenfair-Wilkes,3-Person Moderate-Income,2-BR,Y,2016
Centennial-Glenfair-Wilkes,3-Person Moderate-Income,3-BR,Y,2016
Centennial-Glenfair-Wilkes,3-Person Moderate-Income,Homeownership,Y,2016
Centennial-Glenfair-Wilkes,Couple with Family,Studio,Y,2016
Centennial-Glenfair-Wilkes,Couple with Family,1-BR,Y,2016
Centennial-Glenfair-Wilkes,Couple with Family,2-BR,Y,2016
Centennial-Glenfair-Wilkes,Couple with Family,3-BR,Y,2016
Centennial-Glenfair-Wilkes,Couple with Family,Homeownership,Y,2016
Centennial-Glenfair-Wilkes,White,Studio,Y,2016
Centennial-Glenfair-Wilkes,White,1-BR,Y,2016
Centennial-Glenfair-Wilkes,White,2-BR,Y,2016
Centennial-Glenfair-Wilkes,White,3-BR,Y,2016
Centennial-Glenfair-Wilkes,White,Homeownership,Y,2016
Centennial-Glenfair-Wilkes,Black,Studio,N,2016
Centennial-Glenfair-Wilkes,Black,1-BR,N,2016
Centennial-Glenfair-Wilkes,Black,2-BR,N,2016
Centennial-Glenfair-Wilkes,Black,3-BR,N,2016
Centennial-Glenfair-Wilkes,Black,Homeownership,N,2016
Centennial-Glenfair-Wilkes,Latino,Studio,Y,2016
Centennial-Glenfair-Wilkes,Latino,1-BR,Y,2016
Centennial-Glenfair-Wilkes,Latino,2-BR,N,2016
Centennial-Glenfair-Wilkes,Latino,3-BR,N,2016
Centennial-Glenfair-Wilkes,Latino,Homeownership,N,2016
Centennial-Glenfair-Wilkes,Native American,Studio,N,2016
Centennial-Glenfair-Wilkes,Native American,1-BR,N,2016
Centennial-Glenfair-Wilkes,Native American,2-BR,N,2016
Centennial-Glenfair-Wilkes,Native American,3-BR,N,2016
Centennial-Glenfair-Wilkes,Native American,Homeownership,N,2016
Centennial-Glenfair-Wilkes,Asian,Studio,Y,2016
Centennial-Glenfair-Wilkes,Asian,1-BR,Y,2016
Centennial-Glenfair-Wilkes,Asian,2-BR,Y,2016
Centennial-Glenfair-Wilkes,Asian,3-BR,Y,2016
Centennial-Glenfair-Wilkes,Asian,Homeownership,Y,2016
Centennial-Glenfair-Wilkes,Senior,Studio,Y,2016
Centennial-Glenfair-Wilkes,Senior,1-BR,Y,2016
Centennial-Glenfair-Wilkes,Senior,2-BR,Y,2016
Centennial-Glenfair-Wilkes,Senior,3-BR,N,2016
Centennial-Glenfair-Wilkes,Senior,Homeownership,N,2016
Centennial-Glenfair-Wilkes,Single Mother,Studio,N,2016
